Field,X,Y,Influx
1,49.0,149.0,100.0
1,50.0,200.0,100.0
1,59.0,282.0,100.0
1,62.0,171.0,100.0
1,68.0,124.0,100.0
1,72.0,219.0,100.0
1,76.0,151.0,100.0
1,80.0,60.0,100.0
1,84.0,62.0,100.0
1,84.0,228.0,100.0
1,91.0,271.0,100.0
1,103.0,88.0,100.0
1,110.0,141.0,100.0
1,121.0,33.0,100.0
1,131.0,74.0,100.0
1,138.0,130.0,100.0
1,140.0,215.0,100.0
1,141.0,37.0,100.0
1,153.0,187.0,100.0
1,154.0,398.0,100.0
1,158.0,328.0,100.0
1,161.0,218.0,100.0
1,164.0,284.0,100.0
1,179.0,259.0,100.0
1,184.0,193.0,100.0
1,190.0,137.0,100.0
1,202.0,149.0,100.0
1,209.0,160.0,100.0
1,209.0,339.0,100.0
1,212.0,192.0,100.0
1,231.0,64.0,100.0
1,233.0,165.0,100.0
1,234.0,153.0,100.0
1,237.0,73.0,100.0
1,248.0,334.0,100.0
1,250.0,96.0,100.0
1,258.0,208.0,100.0
1,269.0,210.0,100.0
1,270.0,412.0,100.0
1,276.0,285.0,100.0
1,280.0,154.0,100.0
1,291.0,128.0,100.0
1,293.0,462.0,100.0
1,298.0,237.0,100.0
1,306.0,157.0,100.0
1,307.0,357.0,100.0
1,310.0,134.0,100.0
1,312.0,310.0,100.0
1,315.0,128.0,100.0
1,315.0,438.0,100.0
1,318.0,376.0,100.0
1,319.0,304.0,100.0
1,320.0,47.0,100.0
1,326.0,166.0,100.0
1,327.0,125.0,100.0
1,330.0,147.0,100.0
1,349.0,270.0,100.0
1,368.0,410.0,100.0
1,372.0,369.0,100.0
1,374.0,71.0,100.0
1,378.0,79.0,100.0
1,384.0,135.0,100.0
1,384.0,219.0,100.0
1,388.0,175.0,100.0
1,391.0,82.0,100.0
1,394.0,281.0,100.0
1,398.0,217.0,100.0
1,399.0,196.0,100.0
1,400.0,174.0,100.0
1,403.0,432.0,100.0
1,404.0,286.0,100.0
1,407.0,213.0,100.0
1,409.0,70.0,100.0
1,412.0,114.0,100.0
1,412.0,262.0,100.0
1,417.0,199.0,100.0
1,419.0,92.0,100.0
1,420.0,85.0,100.0
1,428.0,175.0,100.0
1,431.0,171.0,100.0
1,446.0,341.0,100.0
1,447.0,260.0,100.0
1,459.0,329.0,100.0
1,465.0,324.0,100.0
1,468.0,54.0,100.0
1,471.0,215.0,100.0
1,474.0,38.0,100.0
2,31.0,187.0,100.0
2,47.0,179.0,100.0
2,48.0,34.0,100.0
2,48.0,60.0,100.0
2,51.0,167.0,100.0
2,66.0,293.0,100.0
2,87.0,78.0,100.0
2,89.0,181.0,100.0
2,93.0,359.0,100.0
2,106.0,88.0,100.0
2,109.0,91.0,100.0
2,137.0,105.0,100.0
2,138.0,340.0,100.0
2,150.0,183.0,100.0
2,152.0,138.0,100.0
2,155.0,50.0,100.0
2,160.0,214.0,100.0
2,175.0,227.0,100.0
2,185.0,270.0,100.0
2,188.0,81.0,100.0
2,201.0,380.0,100.0
2,204.0,175.0,100.0
2,204.0,345.0,100.0
2,205.0,194.0,100.0
2,212.0,63.0,100.0
2,216.0,209.0,100.0
2,224.0,230.0,100.0
2,225.0,380.0,100.0
2,242.0,266.0,100.0
2,245.0,327.0,100.0
2,248.0,207.0,100.0
2,265.0,267.0,100.0
2,271.0,226.0,100.0
2,274.0,158.0,100.0
2,276.0,34.0,100.0
2,278.0,178.0,100.0
2,280.0,319.0,100.0
2,281.0,277.0,100.0
2,284.0,362.0,100.0
2,285.0,357.0,100.0
2,296.0,39.0,100.0
2,297.0,107.0,100.0
2,309.0,175.0,100.0
2,311.0,171.0,100.0
2,313.0,194.0,100.0
2,313.0,217.0,100.0
2,314.0,87.0,100.0
2,315.0,39.0,100.0
2,317.0,56.0,100.0
2,320.0,284.0,100.0
2,324.0,99.0,100.0
2,329.0,169.0,100.0
2,334.0,95.0,100.0
2,335.0,233.0,100.0
2,347.0,135.0,100.0
2,349.0,282.0,100.0
2,359.0,49.0,100.0
2,362.0,465.0,100.0
2,363.0,186.0,100.0
2,376.0,347.0,100.0
2,378.0,86.0,100.0
2,392.0,137.0,100.0
2,399.0,207.0,100.0
2,403.0,106.0,100.0
2,407.0,430.0,100.0
2,409.0,112.0,100.0
2,409.0,160.0,100.0
2,425.0,50.0,100.0
2,430.0,70.0,100.0
2,430.0,107.0,100.0
2,442.0,150.0,100.0
2,443.0,43.0,100.0
2,444.0,366.0,100.0
2,446.0,215.0,100.0
2,463.0,362.0,100.0
2,466.0,205.0,100.0
2,473.0,99.0,100.0
2,475.0,163.0,100.0
2,479.0,227.0,100.0
3,60.0,120.0,100.0
3,61.0,359.0,100.0
3,71.0,180.0,100.0
3,79.0,177.0,100.0
3,87.0,109.0,100.0
3,89.0,125.0,100.0
3,89.0,161.0,100.0
3,98.0,138.0,100.0
3,104.0,76.0,100.0
3,104.0,197.0,100.0
3,114.0,142.0,100.0
3,117.0,44.0,100.0
3,118.0,240.0,100.0
3,120.0,62.0,100.0
3,135.0,68.0,100.0
3,140.0,163.0,100.0
3,152.0,376.0,100.0
3,153.0,356.0,100.0
3,155.0,193.0,100.0
3,167.0,156.0,100.0
3,171.0,55.0,100.0
3,185.0,268.0,100.0
3,186.0,165.0,100.0
3,190.0,192.0,100.0
3,196.0,146.0,100.0
3,199.0,97.0,100.0
3,200.0,194.0,100.0
3,205.0,212.0,100.0
3,225.0,241.0,100.0
3,228.0,83.0,100.0
3,241.0,400.0,100.0
3,248.0,144.0,100.0
3,256.0,195.0,100.0
3,256.0,272.0,100.0
3,261.0,45.0,100.0
3,261.0,92.0,100.0
3,261.0,120.0,100.0
3,263.0,197.0,100.0
3,267.0,155.0,100.0
3,273.0,197.0,100.0
3,277.0,169.0,100.0
3,277.0,444.0,100.0
3,279.0,90.0,100.0
3,280.0,198.0,100.0
3,283.0,366.0,100.0
3,284.0,345.0,100.0
3,287.0,120.0,100.0
3,298.0,105.0,100.0
3,310.0,86.0,100.0
3,314.0,158.0,100.0
3,315.0,45.0,100.0
3,316.0,210.0,100.0
3,316.0,236.0,100.0
3,322.0,251.0,100.0
3,323.0,142.0,100.0
3,323.0,202.0,100.0
3,324.0,139.0,100.0
3,330.0,118.0,100.0
3,332.0,49.0,100.0
3,336.0,166.0,100.0
3,338.0,111.0,100.0
3,343.0,272.0,100.0
3,347.0,98.0,100.0
3,349.0,187.0,100.0
3,351.0,287.0,100.0
3,354.0,283.0,100.0
3,359.0,264.0,100.0
3,366.0,217.0,100.0
3,368.0,226.0,100.0
3,369.0,159.0,100.0
3,372.0,411.0,100.0
3,376.0,157.0,100.0
3,386.0,191.0,100.0
3,393.0,106.0,100.0
3,407.0,67.0,100.0
3,414.0,170.0,100.0
3,437.0,74.0,100.0
3,437.0,131.0,100.0
3,437.0,254.0,100.0
3,438.0,192.0,100.0
3,450.0,61.0,100.0
3,450.0,101.0,100.0
3,451.0,421.0,100.0
3,454.0,283.0,100.0
3,466.0,34.0,100.0
3,471.0,151.0,100.0
3,475.0,77.0,100.0
3,477.0,173.0,100.0
